Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,M340i Sedan,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M340i xDrive Sedan,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i Convertible,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i Coupe,2022,BMW,Hybrid Electric,,,28.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Convertible,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Coupe,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
SUV,X3 M40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X4 M40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 sDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 xDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 xDrive45e,2022,BMW,Plug-in Hybrid Electric,31.0,50.0,20.0,Automatic,3.0L
SUV,X6 xDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X7 xDrive40i,2022,BMW,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Escalade 2WD,2022,Cadillac,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Escalade 4WD,2022,Cadillac,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Bolt EUV,2022,Chevrolet,Electric,247.0,115.0,,Manual,150 kW electric motor
Sedan/Wagon,Bolt EV,2022,Chevrolet,Electric,259.0,120.0,,Manual,150 kW electric motor
Pickup,Colorado 2WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Colorado 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20),,,19.0,Automatic,2.8L
Pickup,Silverado 2WD,2022,Chevrolet,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Silverado 2WD,2022,Chevrolet,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Silverado 4WD,2022,Chevrolet,Ethanol (E85),,12.0,15.0,Automatic,5.3L
Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,3.0L
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Biodiesel (B20),,,21.0,Automatic,3.0L
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Ethanol (E85),,11.0,15.0,Automatic,5.3L
SUV,Suburban 2WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Suburban 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Tahoe 2WD,2022,Chevrolet,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Tahoe 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
Van,Pacifica Hybrid,2022,Chrysler,Plug-in Hybrid Electric,32.0,82.0,30.0,Automatic,3.6L
Sedan/Wagon,SF90 Spyder,2022,Ferrari,Plug-in Hybrid Electric,8.0,44.0,17.0,Automatic,3.9L
Sedan/Wagon,SF90 Stradale ,2022,Ferrari,Plug-in Hybrid Electric,9.0,51.0,18.0,Automatic,3.9L
Sedan/Wagon,Escape AWD HEV,2022,Ford,Hybrid Electric,,,40.0,Automatic,2.5L I4
Sedan/Wagon,Escape FWD HEV,2022,Ford,Hybrid Electric,,,41.0,Automatic,2.5L I4
SUV,Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric,37.0,105.0,41.0,Automatic,2.5L
SUV,Explorer AWD FFV,2022,Ford,Ethanol (E85),,13.0,19.0,Automatic,3.3L
SUV,Explorer HEV AWD,2022,Ford,Hybrid Electric,,,25.0,Automatic,3.3L V6
SUV,Explorer HEV RWD,2022,Ford,Hybrid Electric,,,27.0,Automatic,3.3L V6
SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,23.0,Automatic,3.3L V6
Pickup,F-150 2WD FFV,2022,Ford,Ethanol (E85),,16.0,21.0,Automatic,3.3L
Pickup,F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,14.0,19.0,Automatic,5.0L
Pickup,F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,14.0,20.0,Automatic,5.0L
Pickup,F-150 4WD FFV,2022,Ford,Ethanol (E85),,15.0,20.0,Automatic,3.3L
Pickup,F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,14.0,18.0,Automatic,5.0L
Pickup,F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,13.0,19.0,Automatic,5.0L
Pickup,F150 Lightning 4WD,2022,Ford,Electric,230.0,68.0,,Automatic,358 kW electric motors (x2)
Pickup,F150 Lightning 4WD Extended Range,2022,Ford,Electric,320.0,70.0,,Automatic,210 kW electric motors (x2)
Pickup,F150 Lightning Platinum 4WD,2022,Ford,Electric,300.0,66.0,,Automatic,210 kW electric motors (x2)
Pickup,F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric,,,25.0,Automatic,3.5L V6
Pickup,F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric,,,23.0,Automatic,3.5L V6
Pickup,Maverick Pickup HEV,2022,Ford,Hybrid Electric,,,37.0,Automatic,2.5L V6
SUV,Mustang Mach-E AWD,2022,Ford,Electric,224.0,93.0,,Automatic,198 kW electric motors (x2)
SUV,Mustang Mach-E AWD California Route 1,2022,Ford,Electric,312.0,98.0,,Automatic,258 kW electric motors (x2)
SUV,Mustang Mach-E AWD Extended,2022,Ford,Electric,277.0,91.0,,Automatic,258 kW electric motors (x2)
SUV,Mustang Mach-E GT AWD,2022,Ford,Electric,270.0,84.0,,Automatic,179  kW electric motors (X2)
SUV,Mustang Mach-E GT Performance,2022,Ford,Electric,260.0,82.0,,Automatic,179  kW electric motor
SUV,Mustang Mach-E RWD,2022,Ford,Electric,247.0,103.0,,Automatic,198 kW electric motor
SUV,Mustang Mach-E RWD California Route 1,2022,Ford,Electric,314.0,101.0,,Automatic,216 kW electric motor
SUV,Mustang Mach-E RWD Extended,2022,Ford,Electric,303.0,97.0,,Automatic,216 kW electric motor
Van,Transit Connect Van FFV,2022,Ford,Ethanol (E85),,19.0,25.0,Automatic,2.0L
