date,relative_humidity_2m,apparent_temperature,rain,snowfall,snow_depth,cloud_cover_low,wind_speed_10m,wind_gusts_10m
2022-04-29 11:00:00.000000 UTC,26.0,7.5,0.0,0.0,0.0,0.0,27.0,48.2
2020-04-11 12:00:00.000000 UTC,26.0,5.4,0.0,0.0,0.0,0.0,27.1,49.3
2023-06-07 12:00:00.000000 UTC,26.0,21.8,0.0,0.0,0.0,0.0,15.9,32.8
2022-02-15 12:00:00.000000 UTC,26.0,-7.1,0.0,0.0,0.03,0.0,9.4,24.1
2021-03-15 13:00:00.000000 UTC,26.0,-4.8,0.0,0.0,0.0,0.0,24.4,48.6
2021-04-06 13:00:00.000000 UTC,26.0,13.8,0.0,0.0,0.0,0.0,17.9,34.9
2022-08-18 13:00:00.000000 UTC,26.0,29.2,0.0,0.0,0.0,0.0,16.8,31.3
2020-02-28 13:00:00.000000 UTC,26.0,-3.1,0.0,0.0,0.0,0.0,34.8,63.0
2022-04-30 13:00:00.000000 UTC,26.0,14.1,0.0,0.0,0.0,0.0,16.4,32.8
2022-12-24 13:00:00.000000 UTC,26.0,-17.2,0.0,0.0,0.0,0.0,28.1,50.0
2023-03-21 13:00:00.000000 UTC,26.0,10.2,0.0,0.0,0.0,0.0,20.0,35.6
2022-06-20 14:00:00.000000 UTC,26.0,24.4,0.0,0.0,0.0,0.0,15.9,30.2
2020-06-26 14:00:00.000000 UTC,26.0,29.4,0.0,0.0,0.0,0.0,13.8,28.4
2021-03-12 14:00:00.000000 UTC,26.0,14.7,0.0,0.0,0.0,0.0,16.6,30.2
2023-05-17 14:00:00.000000 UTC,26.0,12.4,0.0,0.0,0.0,0.0,25.8,46.4
2020-05-12 14:00:00.000000 UTC,26.0,9.1,0.0,0.0,0.0,0.0,30.5,53.6
2023-04-12 14:00:00.000000 UTC,26.0,23.9,0.0,0.0,0.0,0.0,22.4,38.2
2022-01-15 14:00:00.000000 UTC,26.0,-11.3,0.0,0.0,0.02,0.0,14.1,30.6
2022-04-30 14:00:00.000000 UTC,26.0,14.5,0.0,0.0,0.0,0.0,15.4,31.7
2021-04-05 14:00:00.000000 UTC,26.0,12.8,0.0,0.0,0.0,0.0,27.5,48.2
2023-04-13 14:00:00.000000 UTC,26.0,29.2,0.0,0.0,0.0,0.0,19.5,33.5
2020-01-21 14:00:00.000000 UTC,26.0,-4.2,0.0,0.0,0.03,0.0,11.3,24.8
2022-12-24 15:00:00.000000 UTC,26.0,-12.6,0.0,0.0,0.0,7.0,27.9,55.1
2022-04-30 15:00:00.000000 UTC,26.0,14.4,0.0,0.0,0.0,0.0,13.2,30.2
2021-04-05 15:00:00.000000 UTC,26.0,12.3,0.0,0.0,0.0,0.0,27.7,48.6
2020-01-23 15:00:00.000000 UTC,26.0,2.4,0.0,0.0,0.02,0.0,6.8,15.1
2023-08-02 15:00:00.000000 UTC,26.0,25.5,0.0,0.0,0.0,0.0,8.7,21.2
2020-05-12 15:00:00.000000 UTC,26.0,8.1,0.0,0.0,0.0,0.0,29.5,53.6
2022-07-04 15:00:00.000000 UTC,26.0,29.8,0.0,0.0,0.0,0.0,8.2,22.7
2022-06-20 15:00:00.000000 UTC,26.0,24.4,0.0,0.0,0.0,0.0,14.8,30.2
2023-04-13 16:00:00.000000 UTC,26.0,27.1,0.0,0.0,0.0,0.0,20.6,34.6
2023-08-02 16:00:00.000000 UTC,26.0,25.3,0.0,0.0,0.0,0.0,4.0,18.4
2021-04-03 16:00:00.000000 UTC,26.0,6.1,0.0,0.0,0.0,0.0,12.2,26.3
2023-04-24 16:00:00.000000 UTC,26.0,10.7,0.0,0.0,0.0,0.0,15.8,33.5
2022-06-20 16:00:00.000000 UTC,26.0,23.8,0.0,0.0,0.0,0.0,12.8,27.7
2022-08-12 16:00:00.000000 UTC,26.0,26.4,0.0,0.0,0.0,0.0,14.5,26.6
2021-03-19 16:00:00.000000 UTC,26.0,-1.9,0.0,0.0,0.0,0.0,26.9,50.0
2023-02-03 17:00:00.000000 UTC,26.0,-16.6,0.0,0.0,0.0,5.0,35.6,62.3
2022-04-30 17:00:00.000000 UTC,26.0,13.1,0.0,0.0,0.0,0.0,13.8,23.8
2022-03-28 17:00:00.000000 UTC,26.0,-8.4,0.0,0.0,0.0,0.0,30.8,52.2
2022-04-30 10:00:00.000000 UTC,27.0,10.1,0.0,0.0,0.0,0.0,16.8,32.4
2023-02-04 11:00:00.000000 UTC,27.0,-15.6,0.0,0.0,0.0,0.0,14.8,34.2
2022-07-04 11:00:00.000000 UTC,27.0,28.9,0.0,0.0,0.0,0.0,3.3,18.4
2022-04-30 12:00:00.000000 UTC,27.0,13.2,0.0,0.0,0.0,0.0,16.7,33.8
2022-03-22 12:00:00.000000 UTC,27.0,6.3,0.0,0.0,0.0,0.0,23.1,41.8
2020-04-15 12:00:00.000000 UTC,27.0,6.6,0.0,0.0,0.0,0.0,18.2,35.3
2020-03-07 12:00:00.000000 UTC,27.0,-0.1,0.0,0.0,0.0,0.0,27.7,50.8
2023-04-13 13:00:00.000000 UTC,27.0,29.1,0.0,0.0,0.0,0.0,15.5,28.1
2021-05-18 13:00:00.000000 UTC,27.0,24.9,0.0,0.0,0.0,0.0,12.3,25.2
2022-06-20 13:00:00.000000 UTC,27.0,24.3,0.0,0.0,0.0,0.0,14.3,28.4
2023-04-12 13:00:00.000000 UTC,27.0,23.8,0.0,0.0,0.0,0.0,21.7,37.4
2021-01-30 13:00:00.000000 UTC,27.0,-6.5,0.0,0.0,0.02,0.0,15.6,33.1
2023-04-07 13:00:00.000000 UTC,27.0,7.9,0.0,0.0,0.0,0.0,21.7,36.4
2020-05-07 13:00:00.000000 UTC,27.0,10.7,0.0,0.0,0.0,0.0,22.3,40.0
2020-01-23 13:00:00.000000 UTC,27.0,2.0,0.0,0.0,0.02,0.0,5.4,17.3
2021-03-19 14:00:00.000000 UTC,27.0,-1.8,0.0,0.0,0.0,0.0,30.5,56.9
2022-07-03 14:00:00.000000 UTC,27.0,31.5,0.0,0.0,0.0,0.0,6.8,17.6
2022-04-28 14:00:00.000000 UTC,27.0,5.6,0.0,0.0,0.0,0.0,34.4,59.4
2020-05-07 14:00:00.000000 UTC,27.0,11.1,0.0,0.0,0.0,0.0,20.1,39.6
2021-05-18 14:00:00.000000 UTC,27.0,25.0,0.0,0.0,0.0,0.0,7.6,24.5
2023-05-12 14:00:00.000000 UTC,27.0,28.5,0.0,0.0,0.0,0.0,5.2,21.2
2023-05-26 15:00:00.000000 UTC,27.0,19.3,0.0,0.0,0.0,0.0,14.6,29.9
2021-05-01 15:00:00.000000 UTC,27.0,13.1,0.0,0.0,0.0,0.0,20.5,42.8
2023-04-12 15:00:00.000000 UTC,27.0,24.0,0.0,0.0,0.0,0.0,21.7,43.9
2020-02-14 15:00:00.000000 UTC,27.0,-8.2,0.0,0.0,0.0,0.0,23.8,44.3
2023-04-13 15:00:00.000000 UTC,27.0,28.5,0.0,0.0,0.0,0.0,20.2,34.2
2022-08-12 15:00:00.000000 UTC,27.0,27.4,0.0,0.0,0.0,0.0,12.5,24.5
2021-04-03 15:00:00.000000 UTC,27.0,6.5,0.0,0.0,0.0,0.0,12.6,29.9
2020-04-06 16:00:00.000000 UTC,27.0,12.5,0.0,0.0,0.0,0.0,17.4,30.6
2020-02-14 16:00:00.000000 UTC,27.0,-9.2,0.0,0.0,0.0,0.0,23.1,43.6
2022-03-22 16:00:00.000000 UTC,27.0,6.8,0.0,0.0,0.0,0.0,20.1,39.2
2021-05-01 16:00:00.000000 UTC,27.0,12.5,0.0,0.0,0.0,0.0,18.9,37.4
2020-04-16 16:00:00.000000 UTC,27.0,1.8,0.0,0.0,0.0,0.0,25.3,47.9
2023-05-17 17:00:00.000000 UTC,27.0,9.1,0.0,0.0,0.0,0.0,24.8,46.1
2022-12-24 17:00:00.000000 UTC,27.0,-14.4,0.0,0.0,0.0,0.0,20.1,47.5
2023-04-11 18:00:00.000000 UTC,27.0,14.4,0.0,0.0,0.0,0.0,21.2,34.2
2023-05-16 18:00:00.000000 UTC,27.0,20.4,0.0,0.0,0.0,0.0,19.0,38.9
2020-05-07 12:00:00.000000 UTC,28.0,10.7,0.0,0.0,0.0,0.0,21.2,38.9
2022-08-18 12:00:00.000000 UTC,28.0,29.1,0.0,0.0,0.0,0.0,12.7,27.0
